Id,predicted_values
0x4388,0.4069
0x4740,0.1625
0x1ca1,0.6087
0x5224,0.89
0x2bc2,0.462
0x87f3,0.4249
0xa37f,0.1014
0x5548,0.3209
0x8da3,-0.8884
0xaa8c,0.4594
0xadbf,-0.0616
0x1dbe,1.0227
0xb4a0,0.3512
0x1b63,0.1737
0x8a53,0.1585
0x21fd,-0.2511
0xcc6,1.0127
0x92d8,0.2867
0x2beb,-2.5261
0x8799,0.334
0x6b5d,0.4152
0x6b72,0.4316
0x91d7,0.668
0x1809,0.114
0x6357,0.3157
0x39e7,1.2203
0x72c3,0.1202
0x1cbb,0.6673
0x3948,0.1843
0x67a4,0.3379
0x5adc,0.3932
0x7be1,0.6756
0x632a,0.0114
0xa690,-1.5928
0x8abe,0.5011
0xa806,-2.8854
0x6684,0.1569
0x32e8,-0.0549
0x9683,1.0492
0xbb09,0.4556
0xa635,0.6042
0xba1c,0.1432
0xc20,-1.4601
0x8818,1.1471
0x718a,0.4921
0xc378,-1.7038
0x76c8,0.2236
0x4ba3,-0.4583
0xc1d2,0.3465
0xb7c8,0.2465
0xa2a7,0.9031
0xac08,0.893
0x5135,0.8074
0xc52c,0.1977
0x7089,-0.4235
0x84c6,0.6753
0x75f7,-2.7871
0x80d0,0.5672
0x2974,0.7428
0x79b7,0.1014
0xb74c,0.1963
0x4584,0.172
0x31cc,0.4475
0xb3da,-0.681
0x1915,0.5061
0x4380,0.9935
0x1bbd,0.3574
0xa1d,1.0631
0x60b9,0.6171
0x88da,-0.442
0x9c4a,0.3714
0x8019,0.3188
0xa0cd,0.4406
0x2a7b,-0.4498
0x48c3,0.4251
0xa0fb,0.321
0x9201,-0.8131
0x8594,0.5542
0x4d56,-1.4555
0x9b25,-2.1257
0x5ef2,0.0477
0x4e25,-0.3609
0x858a,-0.17
0x6b0e,0.1278
0x31f9,0.5564
0x382f,0.2051
0x4a0b,-0.0156
0x76d,0.0259
0xad16,0.2488
0xa901,0.1149
0x1c22,0.1781
0x2cbb,0.1737
0x6b01,-2.7917
0xbf9,0.1756
0xc71c,0.0204
0xc8f2,0.6148
0x776f,-3.548
0x4b6b,0.1473
0xd85,0.129
0xb422,0.2355
0x958e,0.1823
0x3636,-2.4268
0x3743,0.2636
0x1744,0.6887
0x84a7,0.5509
0xbafc,0.4353
0x56ad,-2.5645
0x4736,0.6307
0x6d93,0.3289
0x7a03,0.1881
0x3ae6,0.1525
0xa564,0.0708
0xc1c2,0.0881
0x172d,-0.0453
0xa536,0.1197
0xa39b,1.0919
0x6bf8,0.538
0xbe8a,-0.2976
0x6d48,0.1271
0x1865,-0.5475
0x3a36,0.7427
0xb20d,0.6802
0x9c66,0.5278
0xbec3,-0.2427
0xb2f6,1.1813
0x3ed1,0.0134
0xa239,-2.5877
0x3ac0,0.3494
0x83be,-1.887
0x3584,0.2333
0x2ad4,0.5543
0x7439,-2.0862
0x415b,0.1508
0x60e4,0.2285
0x1b6b,0.1549
0x9e2b,-1.0918
0xe00,-0.7362
0x1452,1.0167
0xb7c,0.4738
0x7cf3,1.1874
0x3c96,-2.4961
0x4bbc,0.4629
0x1812,0.1642
0xabfc,-1.5564
0x29eb,0.7739
0x86b0,-2.895
0x802c,0.5619
0xb7d6,0.4604
0x29cc,-2.8463
0xaff9,0.6453
0x3d60,-0.4087
0x3c64,-0.5314
0x6cc3,-0.8533
0x7882,0.5797
0xc238,1.0229
0x8cb1,0.9777
0x5781,-0.4207
0x45ed,0.3032
0xaf67,0.1767
0xbb7e,0.2083
0x5a3c,0.0791
0xbcee,0.56
0x1b76,0.6571
0x7a72,0.366
0x8759,0.5642
0x10df,-0.7255
0xeb6,1.1163
0xc240,-1.9855
0x902a,0.5122
0xb4c9,0.5717
0x1173,0.4542
0x63af,0.44
0x9233,-2.6112
0xab0a,0.0067
0xaa94,-0.1116
0x8535,-2.6195
0x9442,-1.4575
0x3b90,-0.4046
0x27a8,-0.3459
0xec0,0.5414
0x8084,-0.6499
0x6a91,-0.0544
0x7aa6,0.5416
0x62c3,0.5695
0x390e,-0.38
0xf5f,0.147
0x9229,0.145
0x615,0.0507
0x2ac9,1.4715
0x2d84,-0.5161
0xacd8,-3.5658
0x9397,0.0146
0x1cd7,0.1014
0x102e,-0.4908
0x4745,0.5836
0x3916,0.5195
0x9f8e,0.238
0x4ee5,0.4669
0x644d,0.5877
0x5f8e,0.7992
0xc8ed,1.2194
0x61d5,0.2246
0x9abb,0.382
0xaa6a,0.2533
0x6425,0.0129
0x73a8,0.2455
0x928d,0.5088
0x53f7,-0.5904
0x75a6,-0.8112
0x358b,0.406
0x4811,-0.2089
0x4ae1,0.1728
0x6b75,-0.7777
0xded,0.5281
0xaac2,0.4131
0x25cd,-2.1986
0x8d62,-0.5755
0x5278,0.6011
0x58f1,0.1264
0xb2e8,0.1771
0x9d78,0.464
0x993e,-0.6749
0x3c27,0.1045
0x8391,0.1809
0xba8,-0.5427
0x2d9a,0.6375
0xc5cf,0.7267
0xbd85,0.367
0xb304,0.0087
0x3871,-2.3069
0x9cbb,1.082
0xa48a,0.9476
0xa07b,0.5491
0xb761,-0.2257
0x6da8,0.2523
0xa063,0.5532
0x3a17,0.2723
0xacfa,1.0955
0xc8d,0.233
0xbfbb,0.927
0x244d,-0.1124
0x72cf,0.1827
0xafa,0.2905
0xc792,-0.4305
0x5332,-2.5838
0x702e,0.5908
0x1955,-2.0195
0x8499,0.3503
0x47dc,0.0288
0x16c2,0.008
0x7c01,-0.5949
0x826,-0.4297
0x8ecf,0.432
0x5acb,0.6871
0xa15e,0.655
0x3c29,0.295
0x36f8,0.9253
0x3c8c,-0.3472
0x91d3,0.0654
0x7b74,0.1234
0x7ef0,0.5987
0x4280,0.3929
0x5e76,0.7067
0x51fe,-0.2154
0x447e,-0.674
0xab94,1.0966
0x5e04,1.0325
0x836e,1.2838
0xc8c2,-0.2661
0x6548,0.2214
0x12e5,0.1824
0x5527,0.5961
0x301e,0.4005
0xa5ca,-0.5257
0x8533,0.3703
0x862d,0.3855
0x81d6,0.5965
0xc853,0.1525
0x6d11,0.6958
0x5744,0.0252
0xa5b3,0.6497
0x4c72,0.27
0xa683,0.2502
0x484c,0.0239
0x9b26,0.6221
0x826b,-0.154
0x84e1,-0.0685
0x88f3,0.188
0x34f5,-0.0615
0x296c,-2.4998
0x2261,0.5792
0x7077,0.9763
0x2d30,0.0905
0x7ae6,0.8689
0xaa03,-0.6499
0x4a58,0.6953
0xa4ce,0.0535
0x149c,-2.6091
0x6b32,0.5231
0x6453,0.1919
0x7c3b,0.4831
0x92e3,0.1052
0x9df4,0.2449
0x3bdb,-1.6014
0xc01b,0.3881
0x69bc,0.1204
0x799b,0.1027
0xf1d,0.6245
0x97b9,-0.6375
0xb865,-0.1486
0x6c00,0.5845
0xb8de,-1.0596
0x400c,0.392
0xc49f,0.8307
0x2dad,0.0417
0x6d6f,-0.1133
0x1e91,1.1335
0x1001,0.4476
0x831b,0.1326
0x6b9f,0.3037
0x2d89,0.0763
0x440d,0.3898
0x625d,-0.0219
0x1a1f,-0.5116
0x9f73,0.5007
0xaa43,0.1726
0xa4fa,-0.3608
0xa0a7,-1.3415
0x253d,0.5605
0x47a0,0.5036
0x3444,0.0649
0x536c,0.8392
0x4c9d,0.1085
0x8e9a,0.2189
0x874e,1.0054
0x8c7b,0.5341
0x3c9d,0.5608
0x8f3a,0.2272
0x76eb,-2.5624
0x2c2d,0.228
0xbcb8,-2.1963
0x9f4c,1.2841
0x1867,0.3548
0x1725,0.3677
0xb2bb,0.0257
0x7e63,0.7813
0x7f65,0.0243
0xa4c1,-0.3242
0x778c,0.0724
0x5b30,0.4179
0x48d0,0.4526
0xc907,1.0541
0x10c4,0.6735
0x3905,0.0094
0x9bb9,0.9778
0xaa2e,-0.572
0x12d0,1.1851
0x2c6a,0.654
0xb9bf,-0.4123
0x263a,-0.2287
0xaf6,0.6464
0xbe7f,0.2588
0x403e,0.2322
0x3a85,0.3652
0x8f16,-3.6332
0x17ff,0.604
0x6d23,0.1117
0x753e,0.1845
0x7224,-2.3952
0xc670,0.4353
0x63cb,-2.5819
0x377d,-0.1991
0x6a6e,0.4494
0xa0c4,0.4798
0xfea,0.7481
0xe46,-2.6108
0xab7a,1.3562
0x9ef,0.0395
0x3bd0,-0.7464
0x481a,-0.2806
0x9ea4,0.2624
0x1a9d,0.1661
0x44a0,0.2714
0x2d7f,0.307
0x85aa,0.0511
0x615a,-2.8071
0x86fc,0.0485
0x6911,-0.246
0x1bea,0.1085
0xb08a,0.1297
0x2187,-0.3779
0x4847,0.0986
0x1280,0.0276
0x9197,-2.9434
0xaba2,0.8388
0xb134,0.1887
0xa126,-0.2746
0x955b,0.4355
0xc3c5,-2.633
0x389a,-0.1815
0xc626,1.074
0x89a,-0.3138
0x45ea,0.5384
0x11ee,-0.4656
0xfef,0.1729
0x4b0f,-0.9915
0x41cb,0.5931
0xbada,-1.6331
0x4546,0.3173
0x26d7,0.0057
0xc2f5,-0.6934
0xaaf,0.2444
0x42a6,0.0029
0x6f73,-0.2342
0x36e4,-1.6017
0xae08,-0.0701
0x247b,-3.1117
0x94e6,-0.2016
0x9f67,0.7014
0x41bb,0.2717
0x10ad,0.4847
0x7c5c,0.0286
0xa65a,-0.4404
0x7b30,0.9501
0xaafe,-0.3971
0x5cca,-1.8871
0x984e,0.4089
0x7ec0,-1.4676
0x158c,-3.2697
0x670e,0.5887
0x3afd,0.0246
0xae88,-2.6413
0x3ee5,0.2048
0xc49d,0.4151
0x13cb,-3.2621
0x21d5,0.5491
0x4200,-0.1866
0x56c1,-0.5043
0x32e3,0.3621
0x825b,0.0039
0xa80e,0.3597
0x4266,-0.4661
0x9474,-0.0124
0x5685,0.6923
0x4c70,0.6268
0xc17a,0.2272
0x7b9f,0.5772
0x8de1,0.2135
0x202b,0.7524
0xa9b3,0.4088
0x6342,0.7004
0x1e8e,0.2128
0x37c9,-2.0283
0x737,-1.3075
0x8bd2,0.1942
0x672d,0.1066
0x456b,0.6739
0x6844,0.3002
0x8029,0.4689
0xb562,0.2772
0xc885,0.1464
0x614e,-3.3832
0x1cc6,-1.3978
0x5eba,0.0755
0xa2c8,0.224
0x3589,0.1851
0x5f5d,0.6318
0xd76,0.5224
0x4982,0.1219
0xc471,0.6125
0x58cb,0.598
0x3c67,0.6046
0x5dcd,-0.8428
0x6959,0.9198
0x1f4a,0.0903
0xb026,-0.9916
0x76ee,0.5141
0xc868,0.1571
0x32ee,0.5462
0x9ad5,-0.7351
0x31aa,0.2849
0x71f3,0.0912
0x8df,-0.2935
0x9d54,0.0305
0xc2d8,0.2666
0x7e45,-3.1815
0x1ac1,1.1389
0xab69,-2.2842
0x4771,0.289
0x9dde,1.0693
0xb7a,0.1784
0xa08d,0.1096
0x3318,1.133
0x1c82,0.0378
0x3896,-0.6005
0x1180,-0.5963
0xb2fc,0.2578
0x341a,-2.1251
0x5408,0.8475
0x93cc,0.1175
0x1fc4,0.0061
0x62a4,0.2471
0x88e2,0.9103
0x8666,0.7152
0x5221,0.6973
0x4721,1.2014
0x2096,-0.1355
0x7799,0.1157
0xbd6f,0.2228
0x4b13,-1.3246
0x246c,-0.6437
0x206a,0.0175
0x51cd,0.469
0x9513,0.54
0x6dde,0.3781
0x6b63,-1.7239
0x38ad,1.2904
0x8448,-0.7138
0x87e6,0.2326
0xbbfd,-1.7457
0x13d9,-0.2139
0x9697,-0.0826
0xa1d9,0.0599
0x479b,0.3626
0xc247,0.3017
0xaeff,0.3271
0x1a00,-0.647
0x6c7e,0.5347
0x3e50,0.021
0xf8f,0.0546
0x3093,-0.2233
0xaf54,-0.2035
0xb407,-1.4052
0x4f4a,0.526
0x2895,0.1087
0xc7a5,0.5099
0x1e56,-1.4608
0x7254,0.3997
0xb6b1,0.1144
0x5344,-0.296
0xbe0f,0.5719
0x19ac,0.9037
0x6eac,0.3411
0x6e2b,1.2993
0x67fa,0.2035
0xc90b,0.2921
0x81fc,-3.1008
0x83f8,-1.9655
0xc596,0.0622
0x72a4,-2.8982
0x2c53,0.3848
0x6a24,0.2641
0x2da5,0.7033
0x30d5,0.1899
0x92d5,0.5694
0x6f0e,0.6733
0x60fd,-0.0515
0x7438,0.0992
0x648e,0.5357
0xc39e,-2.0863
0x17b1,0.4339
0xa92f,0.0756
0x3d2a,0.0728
0x34ff,0.2673
0x81e,-1.6296
0xa162,-1.1423
0xac55,0.6167
0x92c,-0.6256
0xa9a4,0.3383
0x1641,0.2868
0xb036,0.2377
0x51f0,-3.1545
0x8411,0.4568
0x1fcb,0.0973
0x18eb,-0.0344
0x9f8,0.1396
0x918d,0.3128
0xb6a0,0.2982
0x6b26,0.1266
0xbffe,0.53
0x65f6,0.0834
0x9ef3,0.8245
0x1626,0.0915
0x8c93,0.5452
0xc87c,0.269
0x4c11,0.1206
0x992c,0.0879
0xc561,-0.0077
0x57c3,-0.025
0x815c,-0.1701
0x5c42,0.5152
0x1f0d,0.6304
0x3803,0.0536
0x56f9,-0.1635
0x7f91,-1.5652
0x1519,0.0777
0x478e,0.615
0x63f6,0.1522
0x8665,-3.5923
0x9fe3,0.4751
0x9a91,0.508
0x7103,0.3547
0xad4a,0.3814
0x72a0,0.2513
0x6182,1.0482
0x18af,-3.2401
0xb3e9,-1.9094
0xaa1e,0.1418
0x2d39,0.584
0xa289,1.1003
0xc025,-0.4227
0x992b,0.348
0x5ae7,0.667
0xbae2,0.3202
0x11f2,0.614
0x57f1,-0.3518
0x1ea9,0.6249
0xb37e,0.5348
0x2e45,-0.187
0x8587,0.0649
0xa0a0,0.4239
0x3f94,0.5779
0x76d9,0.1579
0xc775,0.5554
0x3051,0.3378
0xa4ba,-1.14
0x8065,0.429
0x195b,-0.8574
0xa1ad,0.4793
0x3f55,0.2508
0x9d0e,-0.0068
0x597e,-0.2608
0xb87b,1.2184
0xab96,-1.1597
0x71b0,-0.2261
0x5bec,0.2775
0x7b39,-0.07
0xa2cc,0.4714
0x3433,0.2225
0x3be6,0.0092
0xc2f2,0.6614
0x6a7c,0.193
0x1e1e,0.579
0x9f92,0.1073
0xc6d1,-0.3585
0xc490,0.2812
0xb641,0.4051
0xbb15,0.5829
0xbde8,0.5329
0xbe10,0.2624
0x7a7d,0.0491
0x7c29,0.9412
0x5021,0.5154
0x7cf8,-2.668
0x1c07,0.2728
0x13f8,0.0648
0x8ac9,0.3669
0x9aab,0.5328
0xa51e,-0.0549
0x15d8,0.0097
0xc20a,-0.1441
0xa6b3,0.318
0x9e62,0.4369
0x1e89,-0.0045
0x89c3,0.2121
0x79a0,-0.4366
0xc1fe,-0.0781
0x2801,0.9583
0xd79,0.828
0xac99,0.5338
0x9e7,0.1258
0xaf83,0.5558
0x1da7,0.469
0xb6e4,-0.0511
0x291e,-0.1742
0x5e22,0.3871
0x571d,-0.5373
0xa9d4,0.1804
0x97aa,0.59
0x8154,0.1649
0x456a,0.4076
0x831f,-0.4559
0x805d,0.3484
0xc329,0.5284
0x622a,0.2666
0x8466,0.2564
0x1c0c,-1.0583
0x9c5e,-0.5688
0x95c4,1.2382
0x4295,0.0839
0x780f,0.5912
0x51a4,-0.0158
0xac97,0.6625
0x3880,-0.8223
0xbe6c,-0.281
0x973a,0.3748
0xc0b7,0.6534
0x8fef,1.2772
0xa755,-0.225
0x14ae,0.5431
0x2c51,0.4996
0x5d1d,-1.8063
0x8fcb,0.5503
0xc4c,0.0882
0xa750,0.1498
0x29e0,0.1494
0x74e7,-0.64
0xb1b3,0.6288
0xa5c4,0.5997
0x52af,0.3247
0x1895,-0.0186
0x2f93,-0.0938
0x4700,0.3776
0x8dd6,0.4893
0xa43c,0.6213
0x5a29,0.4223
0xa017,0.6662
0x4e75,0.651
0xbc30,1.0535
0x93b3,0.6219
0x2642,-0.3057
0x6391,0.5393
0xbaac,0.5475
0x54c3,0.4258
0x4ad5,1.1833
0x37d8,0.4337
0xc3ca,1.1111
0xc743,0.3939
0x48d4,0.4667
0x8c6e,0.1648
0x576c,-0.8307
0xa8b1,0.0003
0x1c57,-2.4347
0x1cfa,0.6013
0x5129,-0.173
0x17b8,-2.7337
0x5b34,0.5303
0x1c1c,1.1673
0x988f,0.2554
0xbcdc,0.5673
0x4326,-2.1068
0x9257,0.1869
0xae00,0.3377
0x47df,-1.2879
0x2e2c,-0.8736
0x6347,0.6226
0x5b09,-2.3948
0xb9bb,0.1598
0x4d33,-0.2283
0x67c6,-0.2257
0x2f98,0.7764
0x62a8,1.1493
0xc53c,0.4953
0x652,-0.5564
0x6f55,0.4261
0x40c3,-0.2786
0x9bfb,0.1552
0xaa6,0.2281
0x810e,-2.912
0xb6bd,0.5362
0x1978,-2.3643
0x2447,0.2846
0xc2f4,-0.7451
0x2f26,1.0815
0x932,0.5687
0x7b6d,-1.3583
0x233a,0.0412
0x6852,0.7811
0xa1f2,-0.5068
0xabcd,0.8509
0xb5c8,0.0624
0x8c9d,-1.7443
0xb74,0.326
0x182c,0.3027
0xb3a1,-2.9466
0x84fd,-0.4406
0x94a5,1.0904
0x8008,-0.7875
0xb0c1,0.4094
0x51ce,0.2895
0x689a,0.6396
0xa030,0.2832
0x2b7f,0.6146
0x95d2,-0.4244
0x706a,0.353
0x66f2,1.139
0x4f76,-0.1145
0x2203,-0.7497
0x3080,0.3133
0x90f6,0.7326
0x3d3a,-0.165
0x3475,0.4786
0x571a,0.385
0x9e49,0.7192
0xa0e,1.165
0x50f4,0.7283
0xbceb,0.3878
0x674a,0.7915
0x4f65,-0.5877
0x778b,-0.3457
0x6c25,0.0848
0x68b7,0.4141
0xc48f,0.1719
0x2db7,0.2529
0xa47c,0.7739
0x178f,0.4164
0x96a,0.4945
0x5f60,-2.5055
0x8139,-2.0134
0x8c4,0.308
0x86c9,0.0301
0xc7c5,1.2524
0x8381,0.0857
0x5d45,0.4403
0x4891,0.4862
0x4ac0,0.397
0x61cc,0.0596
0x95fa,0.5861
0x5838,0.5013
0x2fbb,0.0668
0x284d,0.4261
0x2b14,0.4871
0xb2b3,0.691
0x4b34,0.0965
0x6bcd,0.0109
0xbb7c,1.2172
0x7913,0.3437
0x1d1f,0.2851
0x694c,0.2752
0x95fc,0.8311
0x6675,0.2583
0x3078,0.1798
0x204d,0.3407
0x24d9,0.691
0x59fb,0.0752
0x3fc8,0.1958
0x541c,-1.7492
0x36cd,0.5967
0x7520,0.3172
0x9503,0.1392
0xb02d,-0.0374
0xa207,-0.0798
0x97e9,0.2707
0x4fcc,-0.4253
0x977,0.4124
0xa650,1.2208
0x3628,0.2932
0xbb9a,-0.0682
0x6d22,0.3184
0xae26,0.3121
0x3b3e,-0.2288
0x9c30,0.4777
0xa3e9,0.0389
0x1ac5,-0.1358
0x9ba4,0.2717
0xb89f,0.0143
0x2986,0.0485
0xe89,0.8745
0xae36,-0.0365
0x5d54,0.3289
0x9e5c,0.042
0x18d2,0.5898
0x763d,0.0017
0xc272,-0.4059
0x1781,0.6294
0xab8e,0.8089
0xb4f9,0.1193
0x323c,0.6183
0x6941,-0.1686
0xe68,-0.2511
0x1ba9,-0.0291
0x7d87,0.1387
0xb81b,-0.8633
0x10d3,0.4374
0x80f6,-0.6115
0x820,0.7334
0x27fa,0.1691
0x483c,0.136
0xcad,0.5161
0xac43,-1.7341
0x6991,-0.2893
0x49ed,-0.0629
0x6320,0.444
0x309d,-0.1007
0x3161,0.3333
0xbbb,0.7517
0x10fc,0.3857
0x3915,0.1229
0x164a,0.2571
0x942a,0.1537
0x300c,0.4537
0x1763,0.6476
0xa9c,-0.3839
0x8000,0.6571
0x2743,-0.9631
0x7280,0.7075
0x2a2a,-1.1429
0xa613,-2.1825
0x823c,0.0654
0x3413,0.2114
0xa336,-1.9922
0x45b7,-0.4182
0x31f1,-0.2985
0x7f97,0.533
0xb9eb,-0.0512
0x1cd6,0.3737
0x11c2,-0.3482
0x3ad3,0.1064
0x4b77,0.1295
0x9889,0.2808
0x4186,0.007
0xafc1,0.617
0x8755,-0.4044
0xbf44,0.2146
0x84d0,-0.1033
0x7742,-0.5003
0xb0ca,-0.0727
0x3ad7,0.0581
0x95eb,0.4204
0x6f32,-0.355
0x2b3b,-0.0378
0x9a66,0.5742
0xa57c,-0.0063
0x89ba,0.5811
0x880f,0.2714
0x227b,-1.6345
0x64cc,-0.0872
0xb4eb,-1.6106
0x8736,-2.3619
0x2e99,-1.7216
0x2993,0.0266
0x1d56,-0.3522
0x4b6f,-1.5875
0x7f8e,-0.1272
0xbf3f,1.148
0x18fb,-0.6948
0x9c6f,0.0102
0x1985,0.0689
0x709b,-0.1063
0xc193,-3.0487
0x7342,-0.2539
0x3e9a,-2.7199
0x35fd,-2.5465
0x201a,-0.2964
0xc4a4,0.3879
0xce4,-0.5579
0x2052,0.1692
0xaade,0.4167
0x7843,0.0874
0x3d87,1.1875
0xc71e,-0.3607
0x9ba,-0.4104
0xa5a3,-1.4948
0xb1e,0.3765
0xc24f,0.204
0x8a83,-0.5654
0x3014,0.2272
0x5e2e,0.8323
0x21c4,0.6523
0x2fc2,0.7222
0x8fab,0.3426
0xbe6e,0.4837
0x9c13,0.59
0x8a9f,0.0125
0x8585,0.1405
0x626b,0.3264
0x6062,0.648
0x8f88,-0.7387
0x4126,1.1975
0xbc78,-2.4405
0x8b7b,-2.5406
0x2417,0.7517
0xbc2c,-0.1833
0xa357,1.2127
0x8a5b,-1.6976
0x5739,0.2344
0x34c5,0.102
0xf42,-0.3253
0x3a75,-0.3734
0x317f,-0.461
0x78c7,0.137
0xbe7e,-0.0641
0x319b,0.8163
0x3679,0.2254
0x8702,0.5505
0x27dd,0.3359
0x91ad,0.2912
0x932f,0.7703
0x516e,0.4431
0x501c,0.4203
0x7b1b,-0.0829
0x6259,0.3583
0x3c4e,0.2889
0x25aa,0.3763
0xb144,-1.0103
0x5751,1.1243
0xc09b,0.0901
0x182d,0.0953
0xb298,0.6004
0xc7dd,0.4556
0xc04a,-0.8553
0x387f,0.1755
0x126a,-2.7128
0x97a,0.2303
0xbf48,-0.2052
0x6da,-0.7515
0x2cca,0.1871
0x485c,-0.4835
0x23a4,-0.8706
